Wavelength   Flux         Error
6552.9474    5337.1587    41.8769
6552.9974    5341.5449    41.8571
6553.0475    5334.1406    41.9251
6553.0975    5348.1230    42.0653
6553.1476    5375.8604    42.2519
6553.1970    5381.0098    42.2379
6553.2471    5376.6304    42.1395
6553.2971    5366.0308    42.0764
6553.3472    5353.8579    42.0223
6553.3972    5385.1567    42.1354
6553.4473    5421.6592    42.2685
6553.4973    5426.4478    42.2843
6553.5474    5426.5654    42.2914
6553.5974    5379.4844    42.2184
6553.6475    5334.0420    42.1160
6553.6975    5296.1411    41.8780
6553.7476    5263.3184    41.6569
6553.7970    5243.9507    41.4808
6553.8470    5224.3955    41.4118
6553.8971    5204.5205    41.5254
6553.9471    5205.7896    41.5962
6553.9972    5231.3701    41.6175
6554.0472    5236.2178    41.5514
6554.0973    5224.8345    41.4169
6554.1473    5257.9707    41.6238
6554.1974    5314.3770    42.0093
6554.2474    5311.8188    41.8685
6554.2975    5289.8872    41.5547
6554.3475    5264.7896    41.5707
6554.3970    5239.1270    41.6455
6554.4470    5245.6118    41.5604
6554.4971    5253.8940    41.4742
6554.5471    5260.4238    41.5775
6554.5972    5267.4766    41.6582
6554.6472    5277.8052    41.5965
6554.6973    5288.4688    41.6004
6554.7473    5300.2246    41.8189
6554.7974    5289.7969    41.9000
6554.8474    5234.4849    41.7033
6554.8975    5177.0825    41.4076
6554.9475    5116.8813    40.9793
6554.9976    5037.1553    40.6105
6555.0470    4939.7168    40.2956
6555.0970    4860.6108    39.9958
6555.1471    4792.6782    39.7052
6555.1971    4775.1724    39.7004
6555.2472    4777.4351    39.8077
6555.2972    4800.7646    39.8057
6555.3473    4828.8594    39.7790
6555.3973    4855.3218    39.9424
6555.4474    4881.9209    40.1246
6555.4974    4936.6890    40.3715
6555.5475    4997.1499    40.6332
6555.5975    5104.7256    41.0167
6555.6470    5195.6660    41.3433
6555.6970    5222.2476    41.4493
6555.7471    5229.7314    41.4697
6555.7971    5193.3130    41.2932
6555.8472    5190.1260    41.2834
6555.8972    5236.5811    41.5225
6555.9473    5233.2524    41.5323
6555.9973    5179.9312    41.3116
6556.0474    5164.3511    41.2574
6556.0974    5174.2456    41.3154
6556.1475    5167.7983    41.2877
6556.1975    5154.1865    41.2223
6556.2469    5118.0186    40.9700
6556.2970    5075.9795    40.6691
6556.3470    5073.0273    40.7843
6556.3971    5074.8115    40.9500
6556.4471    5123.1865    41.1146
6556.4972    5172.6787    41.2778
6556.5472    5228.9844    41.4261
6556.5973    5265.3022    41.5282
6556.6473    5215.1865    41.4305
6556.6974    5177.3340    41.3072
6556.7474    5169.9961    41.1200
6556.7975    5165.9819    41.0580
6556.8469    5167.2622    41.1957
6556.8970    5187.4028    41.3193
6556.9470    5227.5923    41.4279
6556.9971    5265.9331    41.6386
6557.0471    5302.9570    41.9220
6557.0972    5318.5630    41.9271
6557.1472    5324.2393    41.8032
6557.1973    5369.1333    42.0429
6557.2473    5424.9199    42.3837
6557.2974    5430.5317    42.4519
6557.3474    5429.4424    42.4837
6557.3975    5452.5850    42.3828
6557.4475    5468.4443    42.2678
6557.4969    5397.2397    42.0211
6557.5470    5306.1904    41.6989
6557.5970    5125.6143    41.0361
6557.6471    4919.8770    40.2475
6557.6971    4649.8965    39.1373
6557.7472    4330.9331    37.7216
6557.7972    3932.5610    35.8105
6557.8473    3526.7051    33.8962
6557.8973    3112.7971    31.9785
6557.9474    2725.7603    29.9672
6557.9974    2358.0195    27.8885
6558.0475    2037.0408    25.9264
6558.0969    1737.8177    24.0185
6558.1470    1531.8984    22.5905
6558.1970    1351.8380    21.2954
6558.2471    1223.1404    20.2936
6558.2971    1101.2043    19.3304
6558.3472    1062.3079    18.9731
6558.3972    1025.9100    18.6399
6558.4473    1002.1958    18.4626
6558.4973    988.8696    18.3718
6558.5474    1020.9380    18.6591
6558.5974    1058.9060    18.9836
6558.6475    1111.5059    19.3999
6558.6969    1188.3445    20.0131
6558.7469    1303.3287    20.9361
6558.7970    1408.2961    21.7401
6558.8470    1502.8314    22.4200
6558.8971    1690.3717    23.6743
6558.9471    1942.2020    25.3258
6558.9972    2172.5544    26.7492
6559.0472    2393.3887    28.0716
6559.0973    2672.3242    29.6026
6559.1473    2966.2952    31.1875
6559.1974    3284.7627    32.9149
6559.2474    3606.0742    34.6588
6559.2975    3948.7026    36.0198
6559.3469    4278.6035    37.3437
6559.3970    4493.6968    38.3397
6559.4470    4690.2925    39.2397
6559.4971    4813.9062    39.7611
6559.5471    4933.3003    40.2471
6559.5972    5043.0508    40.6520
6559.6472    5121.8984    40.9604
6559.6973    5155.6797    41.1278
6559.7473    5182.1030    41.2778
6559.7974    5201.4351    41.4110
6559.8474    5204.6885    41.4022
6559.8975    5197.7388    41.3032
6559.9469    5202.9097    41.2544
6559.9969    5212.9253    41.2258
6560.0470    5230.1343    41.3836
6560.0970    5248.9526    41.5832
6560.1471    5245.6919    41.5618
6560.1971    5241.1274    41.5222
6560.2472    5262.4556    41.5218
6560.2972    5281.6230    41.5388
6560.3473    5285.8345    41.6764
6560.3973    5298.0483    41.7869
6560.4474    5337.1299    41.8063
6560.4974    5338.8755    41.7449
6560.5469    5265.7773    41.5215
6560.5969    5222.7344    41.3840
6560.6470    5218.5278    41.3575
6560.6970    5299.0088    41.5877
6560.7471    5451.6777    42.0366
6560.7971    5661.5186    42.7973
6560.8472    5903.0322    43.7307
6560.8972    5857.8276    43.6591
6560.9473    5715.6758    43.2478
6560.9973    5484.4297    42.4673
6561.0474    5237.6060    41.6223
6561.0974    5199.8032    41.2896
6561.1475    5174.6909    41.0181
6561.1969    5195.4897    41.3363
6561.2469    5221.6572    41.6038
6561.2970    5275.2642    41.6129
6561.3470    5313.0601    41.6084
6561.3971    5307.6587    41.5666
6561.4471    5284.4082    41.5269
6561.4972    5231.0811    41.4909
6561.5472    5230.3779    41.5529
6561.5973    5287.3721    41.7225
6561.6473    5288.8931    41.7018
6561.6974    5250.5234    41.5443
6561.7474    5267.9424    41.5345
6561.7969    5310.8374    41.5923
6561.8469    5345.9751    41.7392
6561.8970    5379.0693    41.9097
6561.9470    5388.6318    42.0796
6561.9971    5395.3647    42.2485
6562.0471    5332.3345    41.8596
6562.0972    5279.5552    41.5282
6562.1472    5312.4668    41.6777
6562.1973    5344.7930    41.8043
6562.2473    5374.9429    41.8461
6562.2974    5373.7344    41.8542
6562.3474    5305.1821    41.7901
6562.3969    5290.5591    41.7917
6562.4469    5349.4097    41.8830
6562.4969    5379.9316    41.9497
6562.5470    5385.2319    41.9945
6562.5970    5394.0508    42.0157
6562.6471    5404.8936    42.0232
6562.6971    5407.5762    42.0746
6562.7472    5407.4038    42.1413
6562.7972    5403.2446    42.2124
6562.8473    5398.3643    42.2842
6562.8973    5442.6304    42.3570
6562.9474    5487.5518    42.4249
6562.9974    5504.3467    42.4124
6563.0469    5506.1890    42.3896
6563.0969    5432.6973    42.3145
6563.1470    5380.6265    42.2070
6563.1970    5385.8569    42.0125
6563.2471    5382.0229    41.9284
6563.2971    5363.3193    42.0254
6563.3472    5360.9126    42.0565
6563.3972    5375.7803    42.0178
6563.4473    5377.7412    41.9721
6563.4973    5370.8174    41.9217
6563.5474    5372.6978    41.9247
6563.5974    5378.3662    41.9507
6563.6469    5377.5063    41.9468
6563.6969    5375.0786    41.9358
6563.7469    5382.2686    42.0290
6563.7970    5389.3667    42.1250
6563.8470    5349.1450    41.8854
6563.8971    5316.3486    41.6970
6563.9471    5334.0767    41.8563
6563.9972    5352.7720    41.9848
6564.0472    5374.6040    42.0131
6564.0973    5381.1846    42.0249
6564.1473    5358.5884    42.0049
6564.1974    5345.4497    41.9821
6564.2468    5343.8223    41.9558
6564.2969    5333.1772    41.8576
6564.3469    5315.4146    41.7025
6564.3970    5287.6255    41.6255
6564.4470    5254.8267    41.5875
6564.4971    5216.0669    41.3747
6564.5471    5175.5747    41.1112
6564.5972    5083.5977    40.8057
6564.6472    4984.8042    40.4946
6564.6973    4870.8828    39.9635
6564.7473    4760.2510    39.4601
6564.7974    4680.4858    39.2239
6564.8468    4616.1997    39.0218
6564.8969    4610.7280    38.9495
6564.9469    4629.1807    38.9935
6564.9969    4699.1758    39.2881
6565.0470    4771.5176    39.5849
6565.0970    4847.0234    39.8849
6565.1471    4925.8716    40.1871
6565.1971    5007.6299    40.4914
6565.2472    5122.6626    40.9653
6565.2972    5256.1206    41.5330
6565.3473    5308.5811    41.6909
6565.3973    5334.4341    41.7141
6565.4474    5297.0283    41.6458
6565.4968    5249.4888    41.5627
6565.5469    5265.9883    41.5830
6565.5969    5286.2363    41.6218
6565.6470    5327.5981    41.8379
6565.6970    5365.0645    42.0290
6565.7471    5385.9463    42.1136
6565.7971    5394.0903    42.1419
6565.8472    5372.4990    42.0388
6565.8972    5355.7134    41.9539
6565.9473    5345.8521    41.8952
6565.9973    5325.6816    41.8197
6566.0474    5295.9790    41.7286
6566.0968    5277.7852    41.6588
6566.1469    5266.3623    41.6013
6566.1969    5260.5757    41.5416
6566.2469    5256.7729    41.4810
6566.2970    5252.0254    41.4185
6566.3470    5247.1113    41.3555
6566.3971    5243.2935    41.4204
6566.4471    5242.6968    41.4951
6566.4972    5283.8188    41.6299
6566.5472    5307.5620    41.7201
6566.5973    5252.8271    41.6089
6566.6473    5232.1143    41.5864
6566.6968    5293.9019    41.7794
6566.7468    5324.7075    41.8437
6566.7969    5309.5737    41.7174
6566.8469    5307.6880    41.6856
6566.8970    5318.3438    41.7433
6566.9470    5348.0132    41.9339
6566.9971    5389.1055    42.2043
6567.0471    5378.1997    42.1218
6567.0972    5348.6289    41.9125
6567.1472    5356.6758    41.9102
6567.1973    5371.5127    41.9452
6567.2473    5356.3794    41.9236
6567.2974    5342.4663    41.9019
6567.3468    5362.0454    41.9107
6567.3969    5378.8872    41.9415
6567.4469    5383.3887    42.0713
6567.4969    5387.3662    42.1709
6567.5470    5390.0811    42.1974
6567.5970    5382.2002    42.1507
6567.6471    5358.7563    41.9966
6567.6971    5358.2227    41.9466
6567.7472    5379.0918    41.9939
6567.7972    5371.4346    42.0184
6567.8473    5346.9541    42.0295
6567.8973    5314.7393    41.8447
6567.9468    5279.8232    41.5915
6567.9968    5303.2197    41.7276
6568.0469    5336.6270    41.9305
6568.0969    5193.2656    41.2820
6568.1470    5042.7866    40.6087
6568.1970    4882.0869    39.9990
6568.2471    4716.3115    39.3623
6568.2971    4529.0566    38.6113
6568.3472    4384.0371    38.0072
6568.3972    4335.8501    37.7400
6568.4473    4292.5142    37.5376
6568.4973    4255.9727    37.4261
6568.5468    4307.0532    37.6511
6568.5968    4435.9878    38.1751
6568.6469    4579.7832    38.8279
6568.6969    4731.8457    39.5524
6568.7469    4890.2329    40.2165
6568.7970    5050.6670    40.8610
6568.8470    5178.1724    41.2932
6568.8971    5300.7202    41.6935
6568.9471    5286.6328    41.6764
6568.9972    5277.3164    41.6705
6569.0472    5335.8525    41.8399
6569.0973    5377.0107    41.9865
6569.1473    5352.6504    42.0474
6569.1968    5349.3711    42.0768
6569.2468    5390.1963    42.0404
6569.2969    5404.1494    42.0529
6569.3469    5383.5210    42.1282
6569.3970    5339.1084    41.9762
6569.4470    5275.3335    41.6390
6569.4971    5201.0312    41.3324
6569.5471    5121.4331    41.0412
6569.5972    4991.2749    40.5749
6569.6472    4846.8154    40.0591
6569.6973    4695.0229    39.3428
6569.7473    4542.7729    38.6058
6569.7968    4440.2520    38.2322
6569.8468    4352.0913    37.9064
6569.8969    4366.4609    37.9226
6569.9469    4399.9023    38.0470
6569.9969    4494.5620    38.5193
6570.0470    4587.5205    38.9235
6570.0970    4677.3496    39.2025
6570.1471    4789.0439    39.6505
6570.1971    4925.6733    40.2911
6570.2472    5018.2573    40.6978
6570.2972    5079.2358    40.9368
6570.3473    5033.9868    40.7462
6570.3967    4942.6299    40.3693
6570.4468    4826.4111    39.8306
6570.4968    4704.4541    39.2547
6570.5469    4531.5688    38.6453
6570.5969    4360.1401    38.0472
6570.6470    4308.1328    37.7584
6570.6970    4269.4521    37.5337
6570.7471    4301.2837    37.6477
6570.7971    4355.0190    37.8792
6570.8472    4466.5967    38.4207
6570.8972    4590.4678    38.9949
6570.9473    4733.5278    39.6202
6570.9967    4887.6484    40.1746
6571.0468    5052.5508    40.6598
6571.0968    5162.6519    41.0935
6571.1469    5239.5098    41.4960
6571.1969    5304.2622    41.7984
6571.2469    5364.7314    42.0654
