#wavelength   flux
1067.9858625       78.2468984831
1068.9858625       78.3322275712
1069.9858625       78.4175566594
1070.9858625       78.5028857476
1071.9858625       78.5882148358
1072.9858625       78.673543924
1073.9858625       78.7588730122
1074.9858625       78.8442021003
1075.9858625       78.9295311885
1076.9858625       79.0148602767
1077.9858625       79.1001893649
1078.9858625       78.3249128184
1079.9858625       76.1046879994
1080.9858625       73.8844631805
1081.9858625       71.6642383615
1082.9858625       69.4440135425
1083.9858625       67.2237887236
1084.9858625       65.0035639046
1085.9858625       62.7833390857
1086.9858625       60.5631142667
1087.9858625       58.3428894477
1088.9858625       56.1226646288
1089.9858625       57.1213285776
1090.9858625       59.212789202
1091.9858625       61.3042498265
1092.9858625       63.395710451
1093.9858625       65.4871710754
1094.9858625       67.5786316999
1095.9858625       69.6700923243
1096.9858625       71.7615529488
1097.9858625       73.8530135732
1098.9858625       75.9444741977
1099.9858625       77.9927345095
1100.9858625       79.723666758
1101.9858625       81.4545990065
1102.9858625       83.185531255
1103.9858625       84.9164635036
1104.9858625       86.6473957521
1105.9858625       88.3783280006
1106.9858625       90.1092602491
1107.9858625       91.8401924977
1108.9858625       93.5711247462
1109.9858625       95.3020569947
1110.9858625       96.2367167161
1111.9858625       96.3528192604
1112.9858625       96.4689218046
1113.9858625       96.5850243489
1114.9858625       96.7011268932
1115.9858625       96.8172294375
1116.9858625       96.9333319818
1117.9858625       97.0494345261
1118.9858625       97.1655370704
1119.9858625       97.2816396147
1120.9858625       97.397742159
1121.9858625       96.9549580722
1122.9858625       96.4259743306
1123.9858625       95.8969905889
1124.9858625       95.3680068472
1125.9858625       94.8390231055
1126.9858625       94.3100393639
1127.9858625       93.7810556222
1128.9858625       93.2520718805
1129.9858625       92.7230881388
1130.9858625       92.1941043972
1131.9858625       91.9435865117
1132.9858625       92.5765717089
1133.9858625       93.2095569061
1134.9858625       93.8425421033
1135.9858625       94.4755273005
1136.9858625       95.1085124977
1137.9858625       95.7414976949
1138.9858625       96.3744828921
1139.9858625       97.0074680893
1140.9858625       97.6404532865
1141.9858625       98.2734384837
1142.9858625       98.1487894751
1143.9858625       97.5456785664
1144.9858625       96.9425676576
1145.9858625       96.3394567488
1146.9858625       95.7363458401
1147.9858625       95.1332349313
1148.9858625       94.5301240226
1149.9858625       93.9270131138
1150.9858625       93.323902205
1151.9858625       92.7207912963
1152.9858625       92.1176803875
1153.9858625       93.1475642205
1154.9858625       94.20029872
1155.9858625       95.2530332196
1156.9858625       96.3057677192
1157.9858625       97.3585022187
1158.9858625       98.4112367183
